-- NOTE: Contents adapted from Template 1.11 by Donald Tipton
--
# Each item is shown by class,  subclass
# Use in quests as "Item _item_ item class # subclass #"
#
#	Artifacts of power
Shifters_Shirt         5, 23

# 	Generic items

Drug Class             0, -1
Indulcet               0, 0
Sursam                 0, 1
Quaesto_vil            0, 2
Aegrostat              0, 3
End of Drug Class

Junk Class             1, -1
Glass Jar              1, 0
Potion                 1, 1
decanter               1, 2
Clay Jar               1, 3
Small Sack             1, 4
Large Sack             1, 5
Quiver                 1, 6
Backpack               1, 7
Small Chest            1, 8
Wine Rack              1, 9 (ground sprite is tomato, inventory icon is tomato)
Large Chest            1, 10
End of Junk Class

Armor Class            2, -1
Leather Cuirass        2, 0 (ground icon is metal armor)
Leather Gauntlets      2, 1 (ground sprite is bracer accessory)
Leather Greaves        2, 2 (ground sprite is bracer accessory)
Leather Left Pauldron  2, 3 (ground sprite is bracer accessory)
Leather Right Pauldron 2, 4 (ground sprite is bracer accessory)
Helm                   2, 5 (ground sprite is metal helm, material is leather)
Leather Boots          2, 6 (ground sprite looks like black rubber boots)
Buckler                2, 7 (ground sprite is metal shield, material is leather)
Round Shield           2, 8 (ground sprite is metal shield, material is leather)
Kite Shield            2, 9 (ground sprite is tall shield, material is leather)
Tower Shield           2, 10 (ground sprite is tall shield, material is leather)
End of Armor Class

Weapon Class           3, -1
Iron Dagger            3, 0
Iron Tanto             3, 1 (ground sprite is metal shield)
Iron Staff             3, 2 (ground sprite is wooden staff)
Iron Shortsword        3, 3 (ground sprite is metal sword)
Iron Wakazashi         3, 4 (ground sprite is impaled metal sword)
Iron Broadsword        3, 5 (ground sprite is impaled metal sword)
Iron Saber             3, 6 (ground sprite is impaled metal sword)
Iron Longsword         3, 7 (ground sprite is impaled metal sword)
Iron Katana            3, 8
Iron Claymore          3, 9 (ground sprite is impaled metal sword)
Iron Dai-katana        3, 10 (ground sprite is impaled metal sword)
Iron Mace              3, 11 (ground sprite is spiked metal club)
Iron Flail             3, 12 (ground sprite is spiked metal club)
Iron Warhammer         3, 13 (ground sprite is small hammer)
Iron Battleaxe         3, 14 (ground sprite is small axe)
Iron War Axe           3, 15 (ground sprite is small axe)
Iron Short Bow         3, 16
Iron Long Bow          3, 17
Arrow                  3, 18
End of Weapon Class

Magic Item             4, -1 (items are random, effect is fixed)
CWU Silence            4, 0
CWH Wisdom             4, 1
CWU Wildfire           4, 2
CWU Force Bolt         4, 3
CWU Light              4, 4
CWU Wizard Lock        4, 5
CWU Open               4, 6
CWU Cure Poison        4, 7
Vampiric effect when strikes 4,8
CWU Wizard's Fire      4, 9






mens_clothing          6, -1
straps                 6, 0
armbands               6, 1
kimono                 6, 2
boots                  6, 8
Formal_cloak           6, 14
book                   7, -1
book0                  7, 0
book1                  7, 1
book2                  7, 2
book3                  7, 3
datura                 8, 0
wolfbane               8, 1
flamable               9, -1
lantern                9, 1
letter                 9, 5
religious              10, -1
common_symbol          10, 2
bell                   10, 3
talisman               10, 5
scarab                 10, 9
map                    11, -1
womens_clothing        12, -1
womens_robe            12, 18
painting               13, -1
portrait               13, 0
Lysandus_death         13, 0
gem                    14, -1
ruby                   14, 0
emerald                14, 1
sapphire               14, 2
diamond                14, 3
jade                   14, 4
turquoise              14, 5
malachite              14, 6
amber                  14, 7
small_plant            15, -1
large_plant            16, -1
yellow_flowers         16, 3
root_tendrils          16, 4
organs                 17, -1
werewolf_blood         17, 0
wraith_essence         17, 2
snake_venom            17, 7
lich_dust              17, 9
basilisk_eye           17, 11
daedra_heart           17, 12
skin                   18, -1
mummy_wrappings        18, 3
harpy_feather          18, 4
mythic                 19, -1
tusk                   19, 0
horn                   19, 2
misc                   20, -1
Holy_relic             20, 0
Pure_water             20, 4
Elixir_vitae           20, 6
element                21, -1
lodestone              21, 3
gold_bar               21, 9
mineral                22, -1
ivory                  22, 0
pearl                  22, 1
transport              23, -1
deed                   24, -1
trinket                25, -1
amulet                 25, 0
bracer                 25, 1
ring                   25, 2
bracelet               25, 3
mark                   25, 4
torc                   25, 5
cloth_amulet           25, 6
wand                   25, 7
specials               26, -1
telescope              26, 0
totem                  26, 4
dead_body              26, 5
mantella_crux          26, 6
finger                 26, 7
random_map             27, 8
random_recipe          27, 4
coins                  28, 0
